Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
13,052;13,052;-0,0501771;0,172239;0,00244961;0;0,836208;0;1
13,092;13,092;-0,0671339;0,17806;0,00236253;0,00101791;0,805438;0,447813;1
13,132;13,132;-0,0671339;0,17806;0,00236253;0;0,805438;0;1
13,172;13,172;-0,0823585;0,181117;0,00225993;0,000993613;0,784128;0,387868;1
13,212;13,212;-0,0823585;0,181117;0,00225993;0;0,784128;0;1
13,252;13,252;-0,0961336;0,179883;0,00236321;0,000802586;0,785755;0,345455;1
13,292;13,292;-0,0961336;0,179883;0,00236321;0;0,785755;0;1
13,332;13,332;-0,108375;0,174119;0,00228018;0,000974038;0,721428;0,337961;1
13,372;13,372;-0,108375;0,174119;0,00228018;0;0,721428;0;1
13,412;13,412;-0,117188;0,164232;0,00224508;0,000816086;0,758988;0,330839;1
13,452;13,452;-0,117188;0,164232;0,00224508;0;0,758988;0;1
13,492;13,492;-0,122775;0,151068;0,00217015;0,000964588;0,749069;0,357207;1
13,532;13,532;-0,122775;0,151068;0,00217015;0;0,749069;0;1
13,572;13,572;-0,126245;0,136995;0,00209388;0,000737785;0,750538;0,36202;1
13,612;13,612;-0,126245;0,136995;0,00209388;0;0,750538;0;1
13,652;13,652;-0,128509;0,123721;0,00214518;0,000540682;0,752187;0,336366;1
13,692;13,692;-0,128509;0,123721;0,00214518;0;0,752187;0;1
13,732;13,732;-0,130113;0,111056;0,0021148;0,000707409;0,740649;0,318877;1
13,772;13,772;-0,130113;0,111056;0,0021148;0;0,740649;0;1
13,812;13,812;-0,13168;0,0988382;0,00214248;0,000594008;0,733453;0,30767;1
